Name;Nationality;University;Degree;Field;Start_year;End_year
Ting_H.N.;Chinese;Pennsylvania;Bachelor;Arts;1915;1918
Inui_Kiyosue;Japanese;Michigan;Bachelor;Arts;1906;1906
Inui_Kiyosue;Japanese;Tokyo Imperial;Doctorate;Law;1897;1901
Yu_Leo W.;Chinese;Purdue;;;1925;1926
Yu_Leo W.;Chinese;Nebraska;Bachelor;Electrical Engineering;1925;1925
Yu_Leo W.;Chinese;Nevada;;;1922;1923
Iseri_K.T.;Japanese;Stanford;Bachelor;Arts;1921;1921
Iseri_K.T.;Japanese;Stanford;Certificate;Engineering;1922;1922
Woo_Herbert;Chinese;Columbia;Bachelor;Architecture;1933;1933
Wu_Pond S.;Chinese;Purdue;Bachelor;Civil Engineering;1914;1914
Wu_Pond S.;Chinese;Wisconsin;Master;Sciences;1915;1915
Wu_Pond S.;Chinese;Wisconsin;Master;Sciences;1915;1915
Wu_Jack Foy;Chinese;Stanford;Doctorate;Medicine;1929;1929
Wu_Jack Foy;Chinese;Stanford;;;1921;1922
Wu_Jack Foy;Chinese;Columbia;Bachelor;Arts;1925;1925
Howe_Sam;Western;Pratt Institute;;;1928;1930
Ho_Teh-Kuei;Chinese;Harvard;Master;Business Administration;1921;1921
Ho_Teh-Kuei;Chinese;Wisconsin;Bachelor;Arts;1919;1919
Ho_Ping-sung;Chinese;Princeton;Master;;1919;1919
Ho_Ping-sung;Chinese;Wisconsin;Bachelor;Arts;1915;1915
O'Hara_Floyd J.;Western;Minnesota;Bachelor;Sciences;1923;1923
O'Hara_Floyd J.;Western;Minnesota;Doctorate;Medicine;1927;1927
O'Hara_Floyd J.;Western;Pennsylvania;Master;Sciences;1933;1933
O'Hara_Floyd J.;Western;Pennsylvania;Master;Sciences;1933;1933
Ho_Philip L.;Chinese;Harvard;Master;Business Administration;1932;1932
Yee_S.K.;Chinese;Chicago;Doctorate;Law;1928;1928
Yee_S.K.;Chinese;Michigan;Bachelor;Arts;1927;1927
