	PlaceNumber	PlaceLabel	NbElements	NbSets	PlaceDetail	Nationality	discipline_variety	discipline_group	degree_variety	degree_highest	Region_variety	Region_code	Mobility	period_nbr	period_group	Type
1	33	P033(2-2)	2	2	{Lee_Shee-Mou;Parker_Frederick A.} - {Harvard;Massachusetts Institute of Technology}	Multinational	Same Discipline	Sciences	Different Degrees	Master	Same Region	EAST	INTRA	SYNC	1909-1918	TypeA
2	36	P036(2-2)	2	2	{Ngao_Sz-Chow;Speery_Henry M.} - {Columbia;Michigan}	Multinational	Same Discipline	Humanities	Different Degrees	Master	Different Regions	EM	INTER	SYNC	1919-1935	TypeA
3	37	P037(2-2)	2	2	{Sze_Ying Tse-yu;Zhen_M.S.} - {Columbia;Massachusetts Institute of Technology}	Chinese	Same Discipline	Sciences	Same Degrees	Master	Same Region	EAST	INTRA	SYNC	1909-1918	TypeA
4	173	P173(2-1)	2	1	{Harkson_US.;Miller_H.P.} - {Nebraska}	Non-Chinese	Same Discipline	Sciences	Same Degrees	Bachelor	Same Region	MID	NULL	SYNC	1909-1918	TypeA
5	26	P026(4-2)	4	2	{Chu_Percy;Lee_Alfred S.;Liang_Louis K.L.;Sun_J.H.} - {Columbia;New York University}	Chinese	Different Disciplines	Sci-Pro	Different Degrees	Master	Same Region	EAST	INTRA	SYNC	1919-1935	TypeB
6	27	P027(3-2)	3	2	{Au_Silwing P.C.;Yee_S.K.;Zee_Andrew} - {Chicago;Michigan}	Chinese	Different Disciplines	Sci-Pro	Different Degrees	Doctorate	Same Region	MID	INTRA	SYNC	1919-1935	TypeB
7	38	P038(2-2)	2	2	{Tsao_Y.S.;Yen_Fu-ching} - {Harvard;Yale}	Chinese	Different Disciplines	Professional	Different Degrees	Doctorate	Same Region	EAST	INTRA	SYNC	1909-1918	TypeB
8	160	P160(4-1)	4	1	{Nance_Dana W.;Nance_William K.;Soong_T.L.;Vaughn_Charles S.} - {Vanderbilt}	Multinational	Different Disciplines	Hum-Pro	Different Degrees	Doctorate	Same Region	MID	NULL	SYNC	1919-1935	TypeB
9	166	P166(3-1)	3	1	{Howard_Hungerford B.;Siroff_Michael P.;Wong_James Norman} - {Southern California}	Multinational	Different Disciplines	Sci-Pro	Different Degrees	Master	Same Region	OTHER - US	NULL	SYNC	1919-1935	TypeB
10	171	P171(2-1)	2	1	{Bryan_Robert T.;Riddick_I.G.} - {North Carolina}	Non-Chinese	Different Disciplines	Pro-Eng	Different Degrees	Certificate	Same Region	EAST	NULL	SYNC	1909-1918	TypeB
11	172	P172(2-1)	2	1	{Davis_Monnett B.;Roberts_R.P.} - {Colorado}	Non-Chinese	Different Disciplines	Hum-Sci	Same Degrees	Bachelor	Same Region	MID	NULL	SYNC	1909-1918	TypeB
12	174	P174(2-1)	2	1	{Huntley_Leslie Meyers;Newell_Ralph P.} - {Dartmouth}	Non-Chinese	Different Disciplines	Hum-Sci	Same Degrees	Bachelor	Same Region	EAST	NULL	SYNC	1919-1935	TypeB
